Fecha,Turno,Máquina,Planificado,Fabricado,Defectuosos,TiempoParada_min
2023-01-08,Mañana,Línea-2,132,125,4,2
2023-01-08,Mañana,Línea-3,81,74,3,39
2023-01-08,Mañana,Línea-4,133,120,2,7
2023-01-08,Mañana,Línea-5,84,80,6,53
2023-01-08,Tarde,Línea-1,109,102,7,11
2023-01-08,Tarde,Línea-2,91,90,3,21
2023-01-08,Tarde,Línea-3,116,116,5,44
2023-01-08,Tarde,Línea-4,131,126,4,57
2023-01-08,Tarde,Línea-5,149,137,3,26
2023-01-08,Noche,Línea-1,84,74,6,42
2023-01-08,Noche,Línea-2,120,114,8,32
2023-01-08,Noche,Línea-3,106,93,2,47
2023-01-08,Noche,Línea-4,113,107,9,42
2023-01-08,Noche,Línea-5,93,88,3,42
2023-01-09,Mañana,Línea-1,133,123,5,19
2023-01-09,Mañana,Línea-2,141,130,12,50
2023-01-09,Mañana,Línea-3,108,103,2,0
2023-01-09,Mañana,Línea-4,92,89,7,16
2023-01-09,Mañana,Línea-5,80,71,7,56
2023-01-09,Tarde,Línea-1,122,107,3,41
2023-01-09,Tarde,Línea-2,86,71,2,13
2023-01-09,Tarde,Línea-3,133,133,1,50
2023-01-09,Tarde,Línea-4,117,111,6,18
2023-01-09,Tarde,Línea-5,82,79,0,18
2023-01-09,Noche,Línea-1,111,99,4,29
2023-01-09,Noche,Línea-2,106,96,9,34
2023-01-09,Noche,Línea-3,134,127,10,32
2023-01-09,Noche,Línea-4,94,81,5,46
2023-01-09,Noche,Línea-5,124,110,11,20
2023-01-10,Mañana,Línea-1,122,111,2,50
2023-01-10,Mañana,Línea-2,136,128,4,11
2023-01-10,Mañana,Línea-3,118,108,3,9
2023-01-10,Mañana,Línea-4,143,135,9,47
2023-01-10,Mañana,Línea-5,109,98,1,18
2023-01-10,Tarde,Línea-1,119,107,0,55
2023-01-10,Tarde,Línea-2,96,87,1,26
2023-01-10,Tarde,Línea-3,98,92,8,46
2023-01-10,Tarde,Línea-4,109,96,7,23
2023-01-10,Tarde,Línea-5,89,75,7,51
2023-01-10,Noche,Línea-1,96,83,0,13
2023-01-10,Noche,Línea-2,141,140,13,40
2023-01-10,Noche,Línea-3,141,130,2,50
2023-01-10,Noche,Línea-4,146,139,9,53
2023-01-10,Noche,Línea-5,95,85,5,52
2023-01-11,Mañana,Línea-1,82,77,0,24
2023-01-11,Mañana,Línea-2,106,97,3,32
2023-01-11,Mañana,Línea-3,80,68,3,8
2023-01-11,Mañana,Línea-4,143,129,7,26
2023-01-11,Mañana,Línea-5,106,94,8,42
2023-01-11,Tarde,Línea-1,126,117,3,32
2023-01-11,Tarde,Línea-2,120,112,0,55
2023-01-11,Tarde,Línea-3,110,97,8,52
2023-01-11,Tarde,Línea-4,81,66,1,8
2023-01-11,Tarde,Línea-5,117,111,9,16
2023-01-11,Noche,Línea-1,144,139,6,26
2023-01-11,Noche,Línea-2,129,120,2,30
2023-01-11,Noche,Línea-3,138,131,2,10
2023-01-11,Noche,Línea-4,87,85,2,1
2023-01-11,Noche,Línea-5,84,69,6,17
2023-01-12,Mañana,Línea-1,144,139,11,7
2023-01-12,Mañana,Línea-2,120,108,0,42
2023-01-12,Mañana,Línea-3,135,133,4,29
2023-01-12,Mañana,Línea-4,138,135,4,10
2023-01-12,Mañana,Línea-5,94,94,3,36
2023-01-12,Tarde,Línea-1,110,102,9,34
2023-01-12,Tarde,Línea-2,122,121,1,10
2023-01-12,Tarde,Línea-3,81,72,0,55
2023-01-12,Tarde,Línea-4,88,80,3,54
2023-01-12,Tarde,Línea-5,85,73,4,30
2023-01-12,Noche,Línea-1,141,129,4,46
2023-01-12,Noche,Línea-2,99,86,1,35
2023-01-12,Noche,Línea-3,88,74,2,15
2023-01-12,Noche,Línea-4,126,112,1,1
2023-01-12,Noche,Línea-5,95,92,2,51
2023-01-13,Mañana,Línea-1,95,80,5,6
2023-01-13,Mañana,Línea-2,149,137,11,23
2023-01-13,Mañana,Línea-3,91,91,9,26
2023-01-13,Mañana,Línea-4,99,88,0,47
2023-01-13,Mañana,Línea-5,140,128,11,38
2023-01-13,Tarde,Línea-1,133,130,13,48
2023-01-13,Tarde,Línea-2,125,115,10,0
2023-01-13,Tarde,Línea-3,88,82,3,16
2023-01-13,Tarde,Línea-4,133,123,7,42
2023-01-13,Tarde,Línea-5,92,82,7,44
2023-01-13,Noche,Línea-1,96,81,1,34
2023-01-13,Noche,Línea-2,113,103,5,10
2023-01-13,Noche,Línea-3,142,127,1,46
2023-01-13,Noche,Línea-4,97,87,2,0
2023-01-13,Noche,Línea-5,143,128,10,39
2023-01-14,Mañana,Línea-1,101,87,4,30
2023-01-14,Mañana,Línea-2,134,126,11,10
2023-01-14,Mañana,Línea-3,84,72,3,60
2023-01-14,Mañana,Línea-4,84,81,7,54
2023-01-14,Mañana,Línea-5,136,128,9,24
2023-01-14,Tarde,Línea-1,123,108,4,35
2023-01-14,Tarde,Línea-2,84,78,5,15
2023-01-14,Tarde,Línea-3,104,94,3,4
2023-01-14,Tarde,Línea-4,120,110,10,5
2023-01-14,Tarde,Línea-5,101,92,9,21
2023-01-14,Noche,Línea-1,149,139,6,20
2023-01-14,Noche,Línea-2,97,92,2,17
2023-01-14,Noche,Línea-3,135,130,9,4
2023-01-14,Noche,Línea-4,80,69,1,39
2023-01-14,Noche,Línea-5,112,104,0,7
2023-01-15,Mañana,Línea-1,148,136,13,5
2023-01-15,Mañana,Línea-2,82,69,6,37
2023-01-15,Mañana,Línea-3,133,120,12,9
2023-01-15,Mañana,Línea-4,110,97,8,31
2023-01-15,Mañana,Línea-5,133,129,11,11
2023-01-15,Tarde,Línea-1,86,75,1,8
2023-01-15,Tarde,Línea-2,124,119,10,26
2023-01-15,Tarde,Línea-3,148,138,12,51
2023-01-15,Tarde,Línea-4,139,137,4,21
2023-01-15,Tarde,Línea-5,87,85,8,48
2023-01-15,Noche,Línea-1,101,100,7,18
2023-01-15,Noche,Línea-2,114,99,6,30
2023-01-15,Noche,Línea-3,146,144,0,23
2023-01-15,Noche,Línea-4,127,124,11,49
2023-01-15,Noche,Línea-5,150,145,5,27
2023-01-16,Mañana,Línea-1,143,143,6,54
2023-01-16,Mañana,Línea-2,111,111,6,0
2023-01-16,Mañana,Línea-3,132,122,6,34
2023-01-16,Mañana,Línea-4,147,133,7,29
2023-01-16,Mañana,Línea-5,141,137,0,12
2023-01-16,Tarde,Línea-1,150,144,14,21
2023-01-16,Tarde,Línea-2,106,103,3,54
2023-01-16,Tarde,Línea-3,138,126,12,50
2023-01-16,Tarde,Línea-4,147,133,3,7
2023-01-16,Tarde,Línea-5,114,114,5,50
2023-01-16,Noche,Línea-1,95,89,3,12
2023-01-16,Noche,Línea-2,94,91,7,21
2023-01-16,Noche,Línea-3,106,97,1,49
2023-01-16,Noche,Línea-4,88,86,1,11
2023-01-16,Noche,Línea-5,109,99,0,30
2023-01-17,Mañana,Línea-1,81,67,5,22
2023-01-17,Mañana,Línea-2,84,82,7,1
2023-01-17,Mañana,Línea-3,112,104,9,37
2023-01-17,Mañana,Línea-4,147,140,13,34
2023-01-17,Mañana,Línea-5,124,123,4,23
2023-01-17,Tarde,Línea-1,88,77,2,29
2023-01-17,Tarde,Línea-2,100,95,6,22
2023-01-17,Tarde,Línea-3,137,129,8,55
2023-01-17,Tarde,Línea-4,84,74,4,0
2023-01-17,Tarde,Línea-5,123,108,6,45
2023-01-17,Noche,Línea-1,119,106,1,34
2023-01-17,Noche,Línea-2,136,135,3,36
2023-01-17,Noche,Línea-3,134,126,10,13
2023-01-17,Noche,Línea-4,82,76,6,18
2023-01-17,Noche,Línea-5,145,143,14,52
2023-01-18,Mañana,Línea-1,117,111,0,54
2023-01-18,Mañana,Línea-2,83,81,8,20
2023-01-18,Mañana,Línea-3,105,91,2,49
2023-01-18,Mañana,Línea-4,143,138,11,24
2023-01-18,Mañana,Línea-5,113,109,4,39
2023-01-18,Tarde,Línea-1,82,69,5,33
2023-01-18,Tarde,Línea-2,118,115,11,45
2023-01-18,Tarde,Línea-3,92,88,5,45
2023-01-18,Tarde,Línea-4,121,107,3,1
2023-01-18,Tarde,Línea-5,107,95,0,52
2023-01-18,Noche,Línea-1,125,124,4,7
2023-01-18,Noche,Línea-2,104,94,9,4
2023-01-18,Noche,Línea-3,88,82,2,32
2023-01-18,Noche,Línea-4,100,85,6,40
2023-01-18,Noche,Línea-5,102,94,1,58
2023-01-19,Mañana,Línea-1,130,125,7,43
2023-01-19,Mañana,Línea-2,126,122,10,18
2023-01-19,Mañana,Línea-3,142,130,1,7
2023-01-19,Mañana,Línea-4,98,84,3,0
2023-01-19,Mañana,Línea-5,103,93,5,4
2023-01-19,Tarde,Línea-1,83,78,6,6
2023-01-19,Tarde,Línea-2,106,101,9,46
2023-01-19,Tarde,Línea-3,120,109,3,59
2023-01-19,Tarde,Línea-4,129,124,0,23
2023-01-19,Tarde,Línea-5,131,130,0,9
2023-01-19,Noche,Línea-1,112,111,1,1
2023-01-19,Noche,Línea-2,97,95,0,29
2023-01-19,Noche,Línea-3,89,78,1,43
2023-01-19,Noche,Línea-4,126,124,7,28
2023-01-19,Noche,Línea-5,150,141,14,60
2023-01-20,Mañana,Línea-1,81,81,7,15
2023-01-20,Mañana,Línea-2,107,103,3,2
2023-01-20,Mañana,Línea-3,134,128,9,38
2023-01-20,Mañana,Línea-4,98,92,1,24
2023-01-20,Mañana,Línea-5,114,100,8,18
2023-01-20,Tarde,Línea-1,80,69,1,16
2023-01-20,Tarde,Línea-2,123,109,4,56
2023-01-20,Tarde,Línea-3,95,86,1,7
2023-01-20,Tarde,Línea-4,121,114,4,3
2023-01-20,Tarde,Línea-5,115,113,5,16
2023-01-20,Noche,Línea-1,120,110,5,57
2023-01-20,Noche,Línea-2,142,140,6,60
2023-01-20,Noche,Línea-3,125,110,2,3
2023-01-20,Noche,Línea-4,122,107,1,11
2023-01-20,Noche,Línea-5,88,78,6,8
2023-01-21,Mañana,Línea-1,92,91,3,2
2023-01-21,Mañana,Línea-2,83,75,4,55
2023-01-21,Mañana,Línea-3,119,109,4,51
2023-01-21,Mañana,Línea-4,139,130,5,58
2023-01-21,Mañana,Línea-5,94,87,4,52
2023-01-21,Tarde,Línea-1,150,147,7,15
2023-01-21,Tarde,Línea-2,115,107,7,28
2023-01-21,Tarde,Línea-3,119,104,7,26
2023-01-21,Tarde,Línea-4,87,82,7,59
2023-01-21,Tarde,Línea-5,91,77,4,55
2023-01-21,Noche,Línea-1,123,117,5,3
2023-01-21,Noche,Línea-2,85,70,3,53
2023-01-21,Noche,Línea-3,130,119,3,45
2023-01-21,Noche,Línea-4,116,111,9,48
2023-01-21,Noche,Línea-5,84,70,7,29
2023-01-22,Mañana,Línea-1,90,80,2,30
2023-01-22,Mañana,Línea-2,88,79,4,29
2023-01-22,Mañana,Línea-3,115,115,9,13
2023-01-22,Mañana,Línea-4,110,97,7,41
2023-01-22,Mañana,Línea-5,85,72,0,59
2023-01-22,Tarde,Línea-1,90,81,0,11
2023-01-22,Tarde,Línea-2,138,128,1,55
2023-01-22,Tarde,Línea-3,142,137,10,32
2023-01-22,Tarde,Línea-4,149,143,10,18
2023-01-22,Tarde,Línea-5,148,147,7,48
2023-01-22,Noche,Línea-1,142,132,3,34
2023-01-22,Noche,Línea-2,133,123,6,6
2023-01-22,Noche,Línea-3,126,121,6,19
2023-01-22,Noche,Línea-4,147,141,3,33
2023-01-22,Noche,Línea-5,127,127,5,7
2023-01-23,Mañana,Línea-1,143,130,5,46
2023-01-23,Mañana,Línea-2,97,84,3,53
2023-01-23,Mañana,Línea-3,94,81,2,17
2023-01-23,Mañana,Línea-4,102,96,9,32
2023-01-23,Mañana,Línea-5,104,100,0,36
2023-01-23,Tarde,Línea-1,129,125,2,50
2023-01-23,Tarde,Línea-2,117,102,1,45
2023-01-23,Tarde,Línea-3,118,115,7,2
2023-01-23,Tarde,Línea-4,97,97,9,45
2023-01-23,Tarde,Línea-5,107,96,4,22
2023-01-23,Noche,Línea-1,147,139,2,51
2023-01-23,Noche,Línea-2,80,74,5,32
2023-01-23,Noche,Línea-3,97,89,0,44
2023-01-23,Noche,Línea-4,98,88,0,60
2023-01-23,Noche,Línea-5,123,112,9,6
2023-01-24,Mañana,Línea-1,124,114,4,46
2023-01-24,Mañana,Línea-2,96,94,3,56
2023-01-24,Mañana,Línea-3,139,127,12,55
2023-01-24,Mañana,Línea-4,95,90,1,32
2023-01-24,Mañana,Línea-5,146,135,3,34
2023-01-24,Tarde,Línea-1,139,126,9,19
2023-01-24,Tarde,Línea-2,106,98,8,55
2023-01-24,Tarde,Línea-3,149,145,7,26
2023-01-24,Tarde,Línea-4,117,107,3,34
2023-01-24,Tarde,Línea-5,87,72,6,18
2023-01-24,Noche,Línea-1,99,87,6,19
2023-01-24,Noche,Línea-2,110,106,2,41
2023-01-24,Noche,Línea-3,85,73,2,49
2023-01-24,Noche,Línea-4,143,130,5,21
2023-01-24,Noche,Línea-5,132,131,11,51
2023-01-25,Mañana,Línea-1,111,105,5,47
2023-01-25,Mañana,Línea-2,80,68,1,45
2023-01-25,Mañana,Línea-3,113,108,6,30
2023-01-25,Mañana,Línea-4,98,96,8,3
2023-01-25,Mañana,Línea-5,114,104,10,51
2023-01-25,Tarde,Línea-1,83,77,4,40
2023-01-25,Tarde,Línea-2,106,100,4,48
2023-01-25,Tarde,Línea-3,150,140,14,42
2023-01-25,Tarde,Línea-4,105,92,1,9
2023-01-25,Tarde,Línea-5,113,101,2,47
2023-01-25,Noche,Línea-1,95,92,8,1
2023-01-25,Noche,Línea-2,89,81,1,13
2023-01-25,Noche,Línea-3,92,85,4,44
2023-01-25,Noche,Línea-4,86,76,3,9
2023-01-25,Noche,Línea-5,95,93,1,22
2023-01-26,Mañana,Línea-1,87,83,8,40
2023-01-26,Mañana,Línea-2,150,139,5,54
2023-01-26,Mañana,Línea-3,96,81,1,39
2023-01-26,Mañana,Línea-4,96,96,7,60
2023-01-26,Mañana,Línea-5,109,107,4,30
2023-01-26,Tarde,Línea-1,120,107,4,33
2023-01-26,Tarde,Línea-2,99,85,7,12
2023-01-26,Tarde,Línea-3,132,119,1,21
2023-01-26,Tarde,Línea-4,138,137,3,17
2023-01-26,Tarde,Línea-5,129,125,3,8
2023-01-26,Noche,Línea-1,146,137,6,51
2023-01-26,Noche,Línea-2,80,75,4,15
2023-01-26,Noche,Línea-3,149,149,10,34
2023-01-26,Noche,Línea-4,97,92,5,17
2023-01-26,Noche,Línea-5,101,100,8,3
2023-01-27,Mañana,Línea-1,99,89,0,5
2023-01-27,Mañana,Línea-2,100,96,5,35
2023-01-27,Mañana,Línea-3,148,138,13,5
2023-01-27,Mañana,Línea-4,86,72,7,44
2023-01-27,Mañana,Línea-5,132,125,2,46
2023-01-27,Tarde,Línea-1,128,123,3,54
2023-01-27,Tarde,Línea-2,133,127,2,22
2023-01-27,Tarde,Línea-3,142,137,6,14
2023-01-27,Tarde,Línea-4,112,107,9,60
2023-01-27,Tarde,Línea-5,145,136,1,54
2023-01-27,Noche,Línea-1,118,103,8,55
2023-01-27,Noche,Línea-2,94,85,6,59
2023-01-27,Noche,Línea-3,131,117,6,60
2023-01-27,Noche,Línea-4,94,80,0,3
2023-01-27,Noche,Línea-5,80,69,6,41
2023-01-28,Mañana,Línea-1,104,93,5,41
2023-01-28,Mañana,Línea-2,131,120,5,5
2023-01-28,Mañana,Línea-3,81,70,1,16
2023-01-28,Mañana,Línea-4,102,99,7,17
2023-01-28,Mañana,Línea-5,106,101,4,12
2023-01-28,Tarde,Línea-1,123,115,2,15
2023-01-28,Tarde,Línea-2,132,132,6,53
2023-01-28,Tarde,Línea-3,123,117,11,9
2023-01-28,Tarde,Línea-4,113,99,6,24
2023-01-28,Tarde,Línea-5,121,115,2,53
2023-01-28,Noche,Línea-1,98,88,5,14
2023-01-28,Noche,Línea-2,113,101,8,33
2023-01-28,Noche,Línea-3,117,115,0,15
2023-01-28,Noche,Línea-4,136,125,1,27
2023-01-28,Noche,Línea-5,104,95,0,16
2023-01-29,Mañana,Línea-1,136,129,8,16
2023-01-29,Mañana,Línea-2,145,137,6,22
2023-01-29,Mañana,Línea-3,82,68,1,17
2023-01-29,Mañana,Línea-4,96,81,3,43
2023-01-29,Mañana,Línea-5,119,110,1,42
2023-01-29,Tarde,Línea-1,110,105,0,9
2023-01-29,Tarde,Línea-2,143,136,8,18
2023-01-29,Tarde,Línea-3,100,93,9,8
2023-01-29,Tarde,Línea-4,102,90,5,59
2023-01-29,Tarde,Línea-5,124,121,7,42
2023-01-29,Noche,Línea-1,98,84,5,5
2023-01-29,Noche,Línea-2,87,74,3,51
2023-01-29,Noche,Línea-3,83,80,8,31
2023-01-29,Noche,Línea-4,129,128,12,32
2023-01-29,Noche,Línea-5,89,82,3,50
2023-01-30,Mañana,Línea-1,127,116,1,6
2023-01-30,Mañana,Línea-2,125,111,6,48
2023-01-30,Mañana,Línea-3,141,132,8,54
2023-01-30,Mañana,Línea-4,97,83,4,36
2023-01-30,Mañana,Línea-5,134,127,9,14
2023-01-30,Tarde,Línea-1,119,110,11,54
2023-01-30,Tarde,Línea-2,147,139,3,45
2023-01-30,Tarde,Línea-3,110,100,4,21
2023-01-30,Tarde,Línea-4,94,79,1,42
2023-01-30,Tarde,Línea-5,109,102,1,25
2023-01-30,Noche,Línea-1,107,97,1,48
2023-01-30,Noche,Línea-2,98,85,1,41
2023-01-30,Noche,Línea-3,111,104,6,40
2023-01-30,Noche,Línea-4,107,104,10,23
2023-01-30,Noche,Línea-5,135,133,2,31
2023-01-31,Mañana,Línea-1,87,79,0,43
2023-01-31,Mañana,Línea-2,99,89,1,52
2023-01-31,Mañana,Línea-3,107,93,9,21
2023-01-31,Mañana,Línea-4,114,114,7,56
2023-01-31,Mañana,Línea-5,111,111,3,42
2023-01-31,Tarde,Línea-1,123,119,9,6
2023-01-31,Tarde,Línea-2,121,108,0,32
2023-01-31,Tarde,Línea-3,104,95,0,46
2023-01-31,Tarde,Línea-4,144,144,7,22
2023-01-31,Tarde,Línea-5,116,102,1,1
2023-01-31,Noche,Línea-1,118,109,3,17
2023-01-31,Noche,Línea-2,147,147,2,30
2023-01-31,Noche,Línea-3,136,134,3,44
2023-01-31,Noche,Línea-4,109,99,1,48
2023-01-31,Noche,Línea-5,93,80,7,11
2023-02-01,Mañana,Línea-1,98,83,1,26
2023-02-01,Mañana,Línea-2,83,77,5,47
2023-02-01,Mañana,Línea-3,81,67,5,24
2023-02-01,Mañana,Línea-4,115,114,1,41
2023-02-01,Mañana,Línea-5,142,140,11,11
2023-02-01,Tarde,Línea-1,115,108,1,36
2023-02-01,Tarde,Línea-2,126,124,1,26
2023-02-01,Tarde,Línea-3,104,99,7,54
2023-02-01,Tarde,Línea-4,115,115,1,27
2023-02-01,Tarde,Línea-5,130,125,6,43
2023-02-01,Noche,Línea-1,81,66,6,22
2023-02-01,Noche,Línea-2,115,111,11,39
2023-02-01,Noche,Línea-3,98,93,6,0
2023-02-01,Noche,Línea-4,90,89,4,12
2023-02-01,Noche,Línea-5,95,84,0,7
2023-02-02,Mañana,Línea-1,95,83,8,25
2023-02-02,Mañana,Línea-2,129,120,7,40
2023-02-02,Mañana,Línea-3,101,93,2,45
2023-02-02,Mañana,Línea-4,91,84,4,37
2023-02-02,Mañana,Línea-5,143,130,11,20
2023-02-02,Tarde,Línea-1,90,86,0,46
2023-02-02,Tarde,Línea-2,125,116,1,59
2023-02-02,Tarde,Línea-3,139,139,10,14
2023-02-02,Tarde,Línea-4,86,79,6,2
2023-02-02,Tarde,Línea-5,100,85,7,5
2023-02-02,Noche,Línea-1,149,145,3,43
2023-02-02,Noche,Línea-2,109,105,9,54
2023-02-02,Noche,Línea-3,84,74,5,37
2023-02-02,Noche,Línea-4,92,92,6,60
2023-02-02,Noche,Línea-5,135,121,9,33
2023-02-03,Mañana,Línea-1,81,77,5,15
2023-02-03,Mañana,Línea-2,84,84,4,34
2023-02-03,Mañana,Línea-3,111,101,3,10
2023-02-03,Mañana,Línea-4,150,147,9,60
2023-02-03,Mañana,Línea-5,103,94,0,40
2023-02-03,Tarde,Línea-1,139,132,10,11
2023-02-03,Tarde,Línea-2,149,147,9,7
2023-02-03,Tarde,Línea-3,85,77,5,27
2023-02-03,Tarde,Línea-4,115,106,6,32
2023-02-03,Tarde,Línea-5,90,75,7,12
2023-02-03,Noche,Línea-1,134,121,3,53
2023-02-03,Noche,Línea-2,136,128,9,41
2023-02-03,Noche,Línea-3,121,114,10,0
2023-02-03,Noche,Línea-4,129,123,2,41
2023-02-03,Noche,Línea-5,146,140,10,41
2023-02-04,Mañana,Línea-1,80,78,6,50
2023-02-04,Mañana,Línea-2,124,122,0,16
2023-02-04,Mañana,Línea-3,134,131,10,44
2023-02-04,Mañana,Línea-4,109,104,3,18
2023-02-04,Mañana,Línea-5,94,91,9,32
2023-02-04,Tarde,Línea-1,94,89,3,9
2023-02-04,Tarde,Línea-2,147,136,5,15
2023-02-04,Tarde,Línea-3,101,95,4,37
2023-02-04,Tarde,Línea-4,85,71,3,44
2023-02-04,Tarde,Línea-5,132,124,0,33
2023-02-04,Noche,Línea-1,91,86,6,53
2023-02-04,Noche,Línea-2,139,135,13,33
2023-02-04,Noche,Línea-3,130,129,6,24
2023-02-04,Noche,Línea-4,146,145,5,1
2023-02-04,Noche,Línea-5,88,74,4,30
2023-02-05,Mañana,Línea-1,127,115,0,25
2023-02-05,Mañana,Línea-2,125,116,10,22
2023-02-05,Mañana,Línea-3,134,122,7,37
2023-02-05,Mañana,Línea-4,134,124,11,52
2023-02-05,Mañana,Línea-5,145,136,2,17
2023-02-05,Tarde,Línea-1,130,116,11,48
2023-02-05,Tarde,Línea-2,88,87,4,31
2023-02-05,Tarde,Línea-3,139,139,1,31
2023-02-05,Tarde,Línea-4,110,102,5,32
2023-02-05,Tarde,Línea-5,126,113,6,23
2023-02-05,Noche,Línea-1,113,105,1,27
2023-02-05,Noche,Línea-2,115,107,9,21
2023-02-05,Noche,Línea-3,90,81,7,53
2023-02-05,Noche,Línea-4,137,135,5,57
2023-02-05,Noche,Línea-5,143,135,2,55
2023-02-06,Mañana,Línea-1,100,88,4,27
2023-02-06,Mañana,Línea-2,147,138,12,43
